region,product,month,quarter,units_sold,revenue_usd,new_logos,churned_logos,returns
North America,Starter,2026-07,Q3,400,40000,52,9,11
North America,Starter,2026-08,Q3,410,41000,55,8,9
North America,Starter,2026-09,Q3,430,43000,61,7,11
North America,Team,2026-07,Q3,275,110000,18,3,4
North America,Team,2026-08,Q3,285,114000,20,2,5
North America,Team,2026-09,Q3,300,120000,24,4,3
North America,Enterprise,2026-07,Q3,14,168000,2,0,0
North America,Enterprise,2026-08,Q3,15,176000,1,1,1
North America,Enterprise,2026-09,Q3,15,184000,3,0,0
EMEA,Starter,2026-07,Q3,310,31000,40,11,8
EMEA,Starter,2026-08,Q3,330,33000,44,9,9
EMEA,Starter,2026-09,Q3,340,34000,47,8,8
EMEA,Team,2026-07,Q3,195,78000,12,2,3
EMEA,Team,2026-08,Q3,205,82000,14,3,3
EMEA,Team,2026-09,Q3,210,84000,16,2,3
EMEA,Enterprise,2026-07,Q3,10,120000,1,0,0
EMEA,Enterprise,2026-08,Q3,10,124000,2,0,0
EMEA,Enterprise,2026-09,Q3,11,128000,2,1,0
APAC,Starter,2026-07,Q3,480,48000,70,14,14
APAC,Starter,2026-08,Q3,500,50000,74,12,15
APAC,Starter,2026-09,Q3,540,54000,82,10,15
APAC,Team,2026-07,Q3,135,54000,10,4,2
APAC,Team,2026-08,Q3,142,57000,12,3,3
APAC,Team,2026-09,Q3,153,61000,15,2,2
APAC,Enterprise,2026-07,Q3,6,68000,1,0,1
APAC,Enterprise,2026-08,Q3,6,72000,1,1,0
APAC,Enterprise,2026-09,Q3,6,76000,2,0,1
LATAM,Starter,2026-07,Q3,170,17000,22,7,6
LATAM,Starter,2026-08,Q3,180,18000,24,6,6
LATAM,Starter,2026-09,Q3,190,19000,27,5,7
LATAM,Team,2026-07,Q3,52,26000,4,1,1
LATAM,Team,2026-08,Q3,56,28000,5,2,2
LATAM,Team,2026-09,Q3,60,30000,7,1,1
LATAM,Enterprise,2026-07,Q3,2,22000,0,0,0
LATAM,Enterprise,2026-08,Q3,2,24000,1,0,0
LATAM,Enterprise,2026-09,Q3,2,26000,1,0,0
